Количество слов
Экономика : 31030
Физика : 9543
Метод Косинусов: p=0,103

глава    13   0
сущность    6   1
роль    32   2
международного    350   0
маркетинга    185   0
развитии    75   0
мировой    72   0
экономики    29   0
понятия    19   6
основные    109   24
элементы    39   2
современного    30   0
этапа    7   0
рыночных    64   0
отношений    70   7
россии    12   0
характерной    11   0
особенностью    46   2
является    155   34
интеграция    11   0
экономику    26   0
основе    56   3
взаимодействия    9   24
стран    249   0
участников    14   0
рынка    448   0
это    138   33
обязывает    1   0
российских    8   0
предпринимателей    2   0
вести    7   0
свой    97   2
бизнес    39   0
учетом    44   2
тенденций    24   0
успешное    11   0
проникновение    19   0
фирм    238   0
рынок    88   0
значительной    26   0
мере    17   2
зависит    25   8
насколько    1   0
объективно    8   1
грамотно    1   0
исследованы    2   1
осваиваемые    1   0
сегменты    73   0
рассматривается    26   0
механизм    3   0
управления    32   0
процесс    62   2
разработки    35   0
принятия    46   3
решений    63   1
коммуникационном    22   0
пространстве    3   2
осуществляющими    72   2
многообразную    2   0
внешнеэкономическую    19   0
деятельность    28   0
цель    150   8
-    116   89
выход    33   4
предприятия    75   0
внешние    83   6
освоение    9   0
завоевание    9   0
прежде    17   0
принять    5   0
предприятие    54   0
должно    66   5
оценить    8   2
возможные    106   8
риски    58   0
    194   0
незнание    2   0
неправильное    1   2
понимание    9   0
предпочтений    9   0
зарубежных    139   0
потребителей    111   0
чуждая    1   0
культура    29   0
ведения    7   0
правил    55   5
законов    16   17
регулирования    16   0
рубежом    32   0
отсутствие    13   4
недостаточное    3   1
количество    16   5
менеджеров    7   0
опытом    8   3
деятельности    85   0
испытывает    5   0
большую    62   15
потребность    46   0
ясном    4   0
поведения    37   0
покупателей    86   0
посредников    36   0
действий    53   33
конкурентов    98   0
государственных    58   0
организаций    71   0
пр    3   0
практической    3   2
точки    14   38
зрения    13   1
«международный    5   0
маркетинг»    1   0
определить    34   21
систему    23   1
мероприятий    31   0
предприятием    14   0
корпорацией    21   0
изучению    18   3
формированию    8   0
удовлетворению    18   0
спроса    94   0
предлагаемые    24   0
товары    235   0
услуги    88   0
эффективного    45   0
достижения    25   0
проведения    24   9
таких    88   21
служит    7   2
специально    14   4
разработанный    14   0
комплекс    50   0
    169   0
данный    119   58
составляют    25   2
те    8   2
входят    14   5
внутреннем    33   1
именно    21   4
потребительского    26   0
также    92   4
среды    59   5
которой    135   51
формирование    34   0
товарной    57   0
ценовой    54   0
политики    33   0
разработка    12   0
осуществление    21   0
стратегии    269   0
продвижения    21   0
товара    182   0
рекламных    42   0
компаний    225   0
общественного    34   0
мнения    15   0
стимулированию    7   0
сбыта    108   0
т    92   36
